image_name,sample,total_pollen,tails,no_tails,ph,treatment,incubation_temperature_°C,days_after_first_anthesis,germination_percent
control3_8_pollen3_10_ph5-5_d1st_r1_pic0001.jpg,3_014,29,16,13,5.5,0.03,22,3,55.17241379
control3_8_pollen3_10_ph5-5_d1st_r1_pic0002.jpg,3_014,28,15,13,5.5,0.03,22,3,53.57142857
control3_8_pollen3_10_ph5-5_d1st_r1_pic0003.jpg,3_014,29,12,17,5.5,0.03,22,3,41.37931034
control3_8_pollen3_10_ph5-5_d1st_r1_pic0004.jpg,3_014,64,35,29,5.5,0.03,22,3,54.6875
control3_8_pollen3_10_ph5-5_d1st_r1_pic0005.jpg,3_014,37,23,14,5.5,0.03,22,3,62.16216216
control3_8_pollen3_10_ph5-5_d1st_r1_pic0006.jpg,3_014,58,33,25,5.5,0.03,22,3,56.89655172
control3_8_pollen3_10_ph5-5_d1st_r1_pic0007.jpg,3_014,47,17,30,5.5,0.03,22,3,36.17021277
control3_8_pollen3_10_ph5-5_d1st_r1_pic0008.jpg,3_014,48,12,36,5.5,0.03,22,3,25
control3_8_pollen3_10_ph5-5_d1st_r1_pic0009.jpg,3_014,29,16,13,5.5,0.03,22,3,55.17241379
control3_8_pollen3_10_ph5-5_d1st_r1_pic0010.jpg,3_014,49,27,22,5.5,0.03,22,3,55.10204082
control3_8_pollen3_10_ph5-5_d1st_r2_pic0001.jpg,3_015,36,18,18,5.5,0.03,22,3,50
control3_8_pollen3_10_ph5-5_d1st_r2_pic0002.jpg,3_015,44,13,31,5.5,0.03,22,3,29.54545455
control3_8_pollen3_10_ph5-5_d1st_r2_pic0003.jpg,3_015,41,11,30,5.5,0.03,22,3,26.82926829
control3_8_pollen3_10_ph5-5_d1st_r2_pic0004.jpg,3_015,45,12,33,5.5,0.03,22,3,26.66666667
control3_8_pollen3_10_ph5-5_d1st_r2_pic0005.jpg,3_015,37,23,14,5.5,0.03,22,3,62.16216216
control3_8_pollen3_10_ph5-5_d1st_r2_pic0006.jpg,3_015,39,15,24,5.5,0.03,22,3,38.46153846
control3_8_pollen3_10_ph5-5_d1st_r2_pic0007.jpg,3_015,27,8,19,5.5,0.03,22,3,29.62962963
control3_8_pollen3_10_ph5-5_d1st_r2_pic0008.jpg,3_015,35,15,20,5.5,0.03,22,3,42.85714286
control3_8_pollen3_10_ph5-5_d1st_r2_pic0009.jpg,3_015,29,16,13,5.5,0.03,22,3,55.17241379
control3_8_pollen3_10_ph5-5_d1st_r2_pic0010.jpg,3_015,38,20,18,5.5,0.03,22,3,52.63157895
control3_8_pollen3_10_ph5-5_d1st_r3_pic0001.jpg,3_016,69,13,56,5.5,0.03,22,3,18.84057971
control3_8_pollen3_10_ph5-5_d1st_r3_pic0002.jpg,3_016,75,15,60,5.5,0.03,22,3,20
control3_8_pollen3_10_ph5-5_d1st_r3_pic0003.jpg,3_016,63,14,49,5.5,0.03,22,3,22.22222222
control3_8_pollen3_10_ph5-5_d1st_r3_pic0004.jpg,3_016,33,13,20,5.5,0.03,22,3,39.39393939
control3_8_pollen3_10_ph5-5_d1st_r3_pic0005.jpg,3_016,61,31,30,5.5,0.03,22,3,50.81967213
control3_8_pollen3_10_ph5-5_d1st_r3_pic0006.jpg,3_016,46,43,3,5.5,0.03,22,3,93.47826087
control3_8_pollen3_10_ph5-5_d1st_r3_pic0007.jpg,3_016,43,21,22,5.5,0.03,22,3,48.8372093
control3_8_pollen3_10_ph5-5_d1st_r3_pic0008.jpg,3_016,26,9,17,5.5,0.03,22,3,34.61538462
control3_8_pollen3_10_ph5-5_d1st_r3_pic0009.jpg,3_016,27,9,18,5.5,0.03,22,3,33.33333333
control3_8_pollen3_10_ph5-5_d1st_r3_pic0010.jpg,3_016,44,15,29,5.5,0.03,22,3,34.09090909
control3_8_pollen3_10_ph5-5_d1st_r4_pic0001.jpg,3_017,37,20,17,5.5,0.03,22,3,54.05405405
control3_8_pollen3_10_ph5-5_d1st_r4_pic0002.jpg,3_017,29,18,11,5.5,0.03,22,3,62.06896552
control3_8_pollen3_10_ph5-5_d1st_r4_pic0003.jpg,3_017,21,19,2,5.5,0.03,22,3,90.47619048
control3_8_pollen3_10_ph5-5_d1st_r4_pic0004.jpg,3_017,26,18,8,5.5,0.03,22,3,69.23076923
control3_8_pollen3_10_ph5-5_d1st_r4_pic0005.jpg,3_017,26,12,14,5.5,0.03,22,3,46.15384615
control3_8_pollen3_10_ph5-5_d1st_r4_pic0006.jpg,3_017,37,20,17,5.5,0.03,22,3,54.05405405
control3_8_pollen3_10_ph5-5_d1st_r4_pic0007.jpg,3_017,34,16,18,5.5,0.03,22,3,47.05882353
control3_8_pollen3_10_ph5-5_d1st_r4_pic0008.jpg,3_017,39,9,30,5.5,0.03,22,3,23.07692308
control3_8_pollen3_10_ph5-5_d1st_r4_pic0009.jpg,3_017,27,19,8,5.5,0.03,22,3,70.37037037
control3_8_pollen3_10_ph5-5_d1st_r4_pic0010.jpg,3_017,30,16,14,5.5,0.03,22,3,53.33333333
