image,sample,genotype ,pollen_growth_temp,pollen_incubation_temp_c,rounds,pollen_image,treatment,tails,no_tails,total_pollen,pollen_germination,
cq401_h10-28_ph6-5_p3_0005 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,49,42,91,53.8461539,
cq401_h10-28_ph6-5_p3_0004 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,36,32,68,52.9411765,
cq401_h10-28_ph6-5_p3_0003 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,25,37,62,40.3225807,
cq401_h10-28_ph6-5_p3_0002 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,76,34,110,69.0909091,
cq401_h10-28_ph6-5_p3_0001 counted.png,cph6_004,Cherry vanilla,22,22,Round-1,10/28/20,6.5,54,18,72,75,
cq401_h10-28_ph6-5_p2_0005 counted.png,cph6_005,Cherry vanilla,22,22,Round-1,10/28/20,6.5,64,34,98,65.3061225,
cq401_h10-28_ph6-5_p2_0004 counted.png,cph6_005,Cherry vanilla,22,22,Round-1,10/28/20,6.5,40,29,69,57.9710145,
cq401_h10-28_ph6-5_p2_0002 counted.png,cph6_005,Cherry vanilla,22,22,Round-1,10/28/20,6.5,24,13,37,64.8648649,
cq401_h10-28_ph6-5_p2_0001 counted.png,cph6_005,Cherry vanilla,22,22,Round-1,10/28/20,6.5,31,23,54,57.4074074,
cq401_h10-28_ph6-5_p1_0005 counted.png,cph6_006,Cherry vanilla,22,22,Round-1,10/28/20,6.5,27,56,83,32.5301205,
cq401_h10-28_ph6-5_p1_0004 counted.png,cph6_006,Cherry vanilla,22,22,Round-1,10/28/20,6.5,93,97,190,48.9473684,
cq401_h10-28_ph6-5_p1_0003 counted.png,cph6_006,Cherry vanilla,22,22,Round-1,10/28/20,6.5,66,86,152,43.4210526,
cq401_h10-28_ph6-5_p1_0002 counted.png,cph6_006,Cherry vanilla,22,22,Round-1,10/28/20,6.5,64,24,88,72.7272727,
cq401_h10-28_ph6-5_p1_0001 counted.png,cph6_006,Cherry vanilla,22,22,Round-1,10/28/20,6.5,37,37,74,50,
cq401_h10-27_ph005-5_p1_0001 counted.png,cph5_001,Cherry vanilla,22,22,Round-1,10/27/20,5.5,38,49,87,43.6781609,
cq401_h10-27_ph005-5_p1_0002 counted.png,cph5_001,Cherry vanilla,22,22,Round-1,10/27/20,5.5,32,23,55,58.1818182,
cq401_h10-27_ph005-5_p1_0003 counted.png,cph5_001,Cherry vanilla,22,22,Round-1,10/27/20,5.5,38,29,67,56.7164179,
cq401_h10-27_ph005-5_p1_0004 counted.png,cph5_001,Cherry vanilla,22,22,Round-1,10/27/20,5.5,50,34,84,59.5238095,
cq401_h10-27_ph005-5_p1_0005 counted.png,cph5_001,Cherry vanilla,22,22,Round-1,10/27/20,5.5,48,19,67,71.641791,
cq401_h10-28_ph5-5_p3-0003 counted.png,cph5_002,Cherry vanilla,22,22,Round-1,10/28/20,5.5,24,19,43,55.8139535,
cq401_h10-28_ph5-5_p3-0002 counted.png,cph5_002,Cherry vanilla,22,22,Round-1,10/28/20,5.5,18,15,33,54.5454546,
cq401_h10-28_ph5-5_p3-0001 counted.png,cph5_002,Cherry vanilla,22,22,Round-1,10/28/20,5.5,23,13,36,63.8888889,
cq401_h10-28_ph5-5_p2-0005 counted.png,cph5_003,Cherry vanilla,22,22,Round-1,10/28/20,5.5,101,18,119,84.8739496,
cq401_h10-28_ph5-5_p2-0004 counted.png,cph5_003,Cherry vanilla,22,22,Round-1,10/28/20,5.5,37,7,44,84.0909091,
cq401_h10-28_ph5-5_p2-0003 counted.png,cph5_003,Cherry vanilla,22,22,Round-1,10/28/20,5.5,41,7,48,85.4166667,
cq401_h10-28_ph5-5_p2-0002 counted.png,cph5_003,Cherry vanilla,22,22,Round-1,10/28/20,5.5,34,6,40,85,
cq401_h10-28_ph5-5_p2-0001 counted.png,cph5_003,Cherry vanilla,22,22,Round-1,10/28/20,5.5,44,20,64,68.75,
cq401_h10-28_ph5-5_p1_0006 counted.png,cph5_004,Cherry vanilla,22,22,Round-1,10/28/20,5.5,19,11,30,63.3333333,
cq401_h10-28_ph5-5_p1_0004 counted.png,cph5_004,Cherry vanilla,22,22,Round-1,10/28/20,5.5,42,54,96,43.75,
cq401_h10-28_ph5-5_p1_0003 counted.png,cph5_004,Cherry vanilla,22,22,Round-1,10/28/20,5.5,26,11,37,70.2702703,
cq401_h10-28_ph5-5_p1_0002 counted.png,cph5_004,Cherry vanilla,22,22,Round-1,10/28/20,5.5,92,13,105,87.6190476,
cq401_h10-28_ph5-5_p1_0001 counted.png,cph5_004,Cherry vanilla,22,22,Round-1,10/28/20,5.5,76,13,89,85.3932584,
