image,sample,genotype ,days_after_first_anthesis,tails,no_tails,total_pollen,pollen_germination
control3_9_pollen3_10_ph5-5_d1st_r1_pic0001.jpg,2_001,QQ74,2,33,96,129,25.58139535
control3_9_pollen3_10_ph5-5_d1st_r1_pic0002.jpg,2_001,QQ74,2,15,66,81,18.51851852
control3_9_pollen3_10_ph5-5_d1st_r1_pic0003.jpg,2_001,QQ74,2,16,66,82,19.51219512
control3_9_pollen3_10_ph5-5_d1st_r1_pic0004.jpg,2_001,QQ74,2,19,50,69,27.53623188
control3_9_pollen3_10_ph5-5_d1st_r1_pic0005.jpg,2_001,QQ74,2,23,90,113,20.3539823
control3_9_pollen3_10_ph5-5_d1st_r1_pic0006.jpg,2_001,QQ74,2,20,93,113,17.69911504
control3_9_pollen3_10_ph5-5_d1st_r1_pic0007.jpg,2_001,QQ74,2,27,112,139,19.42446043
control3_9_pollen3_10_ph5-5_d1st_r1_pic0008.jpg,2_001,QQ74,2,16,115,131,12.21374046
control3_9_pollen3_10_ph5-5_d1st_r1_pic0009.jpg,2_001,QQ74,2,23,69,92,25
control3_9_pollen3_10_ph5-5_d1st_r1_pic0010.jpg,2_001,QQ74,2,24,58,82,29.26829268
control3_9_pollen3_10_ph5-5_d1st_r2_pic0001.jpg,2_002,QQ74,2,10,47,57,17.54385965
control3_9_pollen3_10_ph5-5_d1st_r2_pic0002.jpg,2_002,QQ74,2,12,51,63,19.04761905
control3_9_pollen3_10_ph5-5_d1st_r2_pic0003.jpg,2_002,QQ74,2,16,60,76,21.05263158
control3_9_pollen3_10_ph5-5_d1st_r2_pic0004.jpg,2_002,QQ74,2,15,42,57,26.31578947
control3_9_pollen3_10_ph5-5_d1st_r2_pic0005.jpg,2_002,QQ74,2,19,22,41,46.34146341
control3_9_pollen3_10_ph5-5_d1st_r2_pic0006.jpg,2_002,QQ74,2,33,78,111,29.72972973
control3_9_pollen3_10_ph5-5_d1st_r2_pic0007.jpg,2_002,QQ74,2,16,81,97,16.49484536
control3_9_pollen3_10_ph5-5_d1st_r2_pic0008.jpg,2_002,QQ74,2,22,53,75,29.33333333
control3_9_pollen3_10_ph5-5_d1st_r2_pic0009.jpg,2_002,QQ74,2,20,74,94,21.27659574
control3_9_pollen3_10_ph5-5_d1st_r2_pic0010.jpg,2_002,QQ74,2,20,86,106,18.86792453
control3_9_pollen3_10_ph5-5_d1st_r3_pic0001.jpg,2_003,QQ74,2,17,56,73,23.28767123
control3_9_pollen3_10_ph5-5_d1st_r3_pic0002.jpg,2_003,QQ74,2,26,53,79,32.91139241
control3_9_pollen3_10_ph5-5_d1st_r3_pic0003.jpg,2_003,QQ74,2,36,64,100,36
control3_9_pollen3_10_ph5-5_d1st_r3_pic0004.jpg,2_003,QQ74,2,16,36,52,30.76923077
control3_9_pollen3_10_ph5-5_d1st_r3_pic0005.jpg,2_003,QQ74,2,24,31,55,43.63636364
control3_9_pollen3_10_ph5-5_d1st_r3_pic0006.jpg,2_003,QQ74,2,35,46,81,43.20987654
control3_9_pollen3_10_ph5-5_d1st_r3_pic0007.jpg,2_003,QQ74,2,42,24,66,63.63636364
control3_9_pollen3_10_ph5-5_d1st_r3_pic0008.jpg,2_003,QQ74,2,31,54,85,36.47058824
control3_9_pollen3_10_ph5-5_d1st_r3_pic0009.jpg,2_003,QQ74,2,66,96,162,40.74074074
control3_9_pollen3_10_ph5-5_d1st_r3_pic0010.jpg,2_003,QQ74,2,42,84,126,33.33333333
control3_9_pollen3_10_ph5-5_d1st_r4_pic0001.jpg,2_004,QQ74,2,48,61,109,44.03669725
control3_9_pollen3_10_ph5-5_d1st_r4_pic0002.jpg,2_004,QQ74,2,47,17,64,73.4375
control3_9_pollen3_10_ph5-5_d1st_r4_pic0003.jpg,2_004,QQ74,2,25,33,58,43.10344828
control3_9_pollen3_10_ph5-5_d1st_r4_pic0004.jpg,2_004,QQ74,2,25,89,114,21.92982456
control3_9_pollen3_10_ph5-5_d1st_r4_pic0005.jpg,2_004,QQ74,2,28,41,69,40.57971014
control3_9_pollen3_10_ph5-5_d1st_r4_pic0006.jpg,2_004,QQ74,2,25,81,106,23.58490566
control3_9_pollen3_10_ph5-5_d1st_r4_pic0007.jpg,2_004,QQ74,2,33,67,100,33
control3_9_pollen3_10_ph5-5_d1st_r4_pic0008.jpg,2_004,QQ74,2,17,42,59,28.81355932
control3_9_pollen3_10_ph5-5_d1st_r4_pic0009.jpg,2_004,QQ74,2,19,34,53,35.8490566
control3_9_pollen3_10_ph5-5_d1st_r4_pic0010.jpg,2_004,QQ74,2,27,20,47,57.44680851
control3_9_pollen3_10_ph5-5_d1st_r5_pic0001.jpg,2_005,QQ74,2,20,90,110,18.18181818
control3_9_pollen3_10_ph5-5_d1st_r5_pic0002.jpg,2_005,QQ74,2,17,78,95,17.89473684
control3_9_pollen3_10_ph5-5_d1st_r5_pic0003.jpg,2_005,QQ74,2,17,31,48,35.41666667
control3_9_pollen3_10_ph5-5_d1st_r5_pic0004.jpg,2_005,QQ74,2,22,47,69,31.88405797
control3_9_pollen3_10_ph5-5_d1st_r5_pic0005.jpg,2_005,QQ74,2,24,39,63,38.0952381
control3_9_pollen3_10_ph5-5_d1st_r5_pic0006.jpg,2_005,QQ74,2,16,47,63,25.3968254
control3_9_pollen3_10_ph5-5_d1st_r5_pic0007.jpg,2_005,QQ74,2,15,59,74,20.27027027
control3_9_pollen3_10_ph5-5_d1st_r5_pic0008.jpg,2_005,QQ74,2,21,45,66,31.81818182
control3_9_pollen3_10_ph5-5_d1st_r5_pic0009.jpg,2_005,QQ74,2,21,56,77,27.27272727
control3_9_pollen3_10_ph5-5_d1st_r5_pic0010.jpg,2_005,QQ74,2,17,28,45,37.77777778
