image_name,sample,treatment,total_pollen,tails,no_tails,ph,pollen_treatment,incubation_temperature_°C,DAFA,germination_percent
cq329_16gsucrose_FA6_13_p6_17_d3_0002.jpg,16_006,16,48,35,13,5.5,control,22,3,72.91666667
cq329_16gsucrose_FA6_13_p6_17_d3_0003.jpg,16_006,16,54,7,47,5.5,control,22,3,12.96296296
cq329_16gsucrose_FA6_13_p6_17_d3_0004.jpg,16_006,16,37,8,29,5.5,control,22,3,21.62162162
cq329_16gsucrose_FA6_13_p6_17_d3_0005.jpg,16_006,16,15,6,9,5.5,control,22,3,40
cq329_16gsucrose_FA6_13_p6_17_d3_0006.jpg,16_006,16,12,8,4,5.5,control,22,3,66.66666667
cq329_16gsucrose_FA6_13_p6_17_d3_0007.jpg,16_006,16,32,9,23,5.5,control,22,3,28.125
cq329_16gsucrose_FA6_13_p6_17_d3_0008.jpg,16_006,16,28,8,20,5.5,control,22,3,28.57142857
cq329_16gsucrose_FA6_13_p6_17_d3_0009.jpg,16_006,16,30,11,19,5.5,control,22,3,36.66666667
cq329_16gsucrose_FA6_13_p6_17_d3_0010.jpg,16_006,16,46,10,36,5.5,control,22,3,21.73913043
cq329_16gsucrose_FA6_13_p6_17_d4_0001.jpg,16_007,16,29,5,24,5.5,control,22,3,17.24137931
cq329_16gsucrose_FA6_13_p6_17_d4_0002.jpg,16_007,16,36,6,30,5.5,control,22,3,16.66666667
cq329_16gsucrose_FA6_13_p6_17_d4_0003.jpg,16_007,16,29,5,29,5.5,control,22,3,17.24137931
cq329_16gsucrose_FA6_13_p6_17_d4_0004.jpg,16_007,16,31,4,27,5.5,control,22,3,12.90322581
cq329_16gsucrose_FA6_13_p6_17_d4_0005.jpg,16_007,16,21,2,19,5.5,control,22,3,9.523809524
cq329_16gsucrose_FA6_13_p6_17_d4_0006.jpg,16_007,16,29,4,25,5.5,control,22,3,13.79310345
cq329_16gsucrose_FA6_13_p6_17_d4_0007.jpg,16_007,16,38,5,33,5.5,control,22,3,13.15789474
cq329_16gsucrose_FA6_13_p6_17_d4_0008.jpg,16_007,16,54,7,47,5.5,control,22,3,12.96296296
cq329_16gsucrose_FA6_13_p6_17_d4_0009.jpg,16_007,16,65,4,61,5.5,control,22,3,6.153846154
cq329_16gsucrose_FA6_13_p6_17_d4_0010.jpg,16_007,16,43,6,37,5.5,control,22,3,13.95348837
cq329_24g_sucrose_fa6_9_p6_12_d1_0001.jpg,24_001,24,25,1,24,5.5,control,22,3,4
cq329_24g_sucrose_fa6_9_p6_12_d1_0002.jpg,24_001,24,24,2,22,5.5,control,22,3,8.333333333
cq329_24g_sucrose_fa6_9_p6_12_d1_0003.jpg,24_001,24,28,2,26,5.5,control,22,3,7.142857143
cq329_24g_sucrose_fa6_9_p6_12_d1_0004.jpg,24_001,24,36,2,34,5.5,control,22,3,5.555555556
